plugin,kind,name,source_path,source_sha256,lines,codex_projected_name,codex_discovery_0_154_0,strict_yaml,portability_flags_heuristic,declared_tools,referenced_capabilities_heuristic,existing_relative_links
flow,command,utils-verify,plugins/flow/commands/utils-verify.md,5725bd1b7a7076f8b4be3973c1cd3a673db97db6d9f842d83548ff7d1c610efd,122,flow:source-command-utils-verify,discovered,valid,agent_orchestration,,flow:execute; flow:quality-gates; flow:utils-verify; flow:validate,
flow,command,validate-a11y,plugins/flow/commands/validate-a11y.md,cac9ce4e8897486b10d96dfd2c389d07d4b4b11091c3f3a331a2eff9f110891d,128,flow:source-command-validate-a11y,discovered,valid,kgai; maude_cli,,flow:kgai-backend,
flow,command,validate-security,plugins/flow/commands/validate-security.md,407d3f500f8add2f37f0320bb94f76d2c2278ee816e76ae16132d87157e2ff25,163,flow:source-command-validate-security,discovered,valid,agent_orchestration; kgai; maude_cli,,flow:debate-protocol; flow:done; flow:ethical-hacker; flow:kgai-backend; flow:review-code; flow:security-auditor; flow:validate; flow:validate-a11y; flow:validate-security; flow:validate-visual,
flow,command,validate-visual,plugins/flow/commands/validate-visual.md,f028fdebd50befc8da4a51ece45f5536701b571ee50b96e103d4df34e8d6253d,100,flow:source-command-validate-visual,discovered,valid,kgai; maude_cli,,flow:kgai-backend,
flow,command,validate,plugins/flow/commands/validate.md,5e441312d63f08246c8b769668cc06aba9219b959fb29a089ff6cb0f74d15895,266,flow:source-command-validate,discovered,valid,claude_paths; agent_orchestration; arguments; kgai; maude_cli,,flow:done; flow:kgai-backend; flow:quality-gates; flow:record-ddr; flow:release-changelog; flow:test-coverage; flow:utils-verify; flow:validate; flow:validate-security,
flow,skill,a11y-checker,plugins/flow/skills/a11y-checker/SKILL.md,cd88014d160e1c0ce77b9c5cbdb7edf5af3baef3b176e1ba829601623ec217a0,162,flow:a11y-checker,discovered,valid,claude_paths,,,
flow,skill,a11y-rules,plugins/flow/skills/a11y-rules/SKILL.md,722816c484a464cb7ff0e0e7f9d43e1f78a3bc09adb8be2b1ca4ece4480203de,124,flow:a11y-rules,discovered,valid,agent_orchestration,,flow:utils-verify; flow:validate,
flow,skill,agent-browser,plugins/flow/skills/agent-browser/SKILL.md,f5536d30a7dad1a2057c643ca186c9f42f713eef038dd8e4efd899f0ea012193,419,flow:agent-browser,discovered,valid,claude_paths,,,
flow,skill,agent-device,plugins/flow/skills/agent-device/SKILL.md,fa6f135903f66a0aac4de874fb191634620a342f6ae99317f77a90a7d6c1cb91,534,flow:agent-device,discovered,valid,,,,
flow,skill,claude-md-keeper,plugins/flow/skills/claude-md-keeper/SKILL.md,cf22c60de79579d4e78f352aad1bbf3e44deffd4f3c16d98e4eaca3dd62cccd1,99,flow:claude-md-keeper,discovered,valid,claude_paths,,flow:done; flow:record-ddr; flow:record-retro,
flow,skill,codebase-intelligence,plugins/flow/skills/codebase-intelligence/SKILL.md,4dad8072784f508b35272194ed36b0fc58ab59c4543a30702a8dc2fb200997cc,260,flow:codebase-intelligence,discovered,valid,claude_paths; maude_cli,,flow:done; flow:plan; flow:setup-codebase-map; flow:utils-verify,
flow,skill,ddr-keeper,plugins/flow/skills/ddr-keeper/SKILL.md,fd6adc5be46d8b7a25c7159bf90301b9e2d0c72de4441cf222e3405749e5bc7f,90,flow:ddr-keeper,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:record-ddr; flow:record-retro,
flow,skill,debate-protocol,plugins/flow/skills/debate-protocol/SKILL.md,2b822abb8b8f03d228f55a320b73ce93d574612318c32532ccaba4a431bd59fc,98,flow:debate-protocol,discovered,valid,agent_orchestration; question_ui; kgai; maude_cli,,design:critic; design:setup-ds; design:ux-research-agent; flow:breaker; flow:bug-rca; flow:builder; flow:investigator; flow:kgai-backend; flow:plan; flow:question-protocol; flow:quick; flow:setup-prd; flow:shipper; flow:user-advocate; flow:validate-security,
flow,skill,debugging-rules,plugins/flow/skills/debugging-rules/SKILL.md,975486b74a704704e340df0147d7b5a205aaf7ac2b9c33e942ba52824055bea3,221,flow:debugging-rules,discovered,valid,,,flow:bug-fix; flow:bug-rca; flow:execute; flow:utils-verify; flow:validate,
flow,skill,kgai-backend,plugins/flow/skills/kgai-backend/SKILL.md,a783149666df66ce758edc9c334ebb16b0353d0f7475b7a8769a3d92af1f675f,221,flow:kgai-backend,discovered,valid,kgai; maude_cli,,design:board; design:critic; design:draw; design:edit; design:handoff; design:new; design:setup-ds; flow:bug-rca; flow:done; flow:pause; flow:plan; flow:record-ddr; flow:resume; flow:setup-prd; flow:status,
flow,skill,kgai-migrate,plugins/flow/skills/kgai-migrate/SKILL.md,8a4f21f7c46570e270c695692c45e896799546b29c2f5c0b3abf178969d326c2,137,flow:kgai-migrate,discovered,valid,kgai; maude_cli,,flow:execute; flow:kgai-backend; flow:maintain-ai-health; flow:maintain-docs; flow:migrate-kgai; flow:pause; flow:plan; flow:record-ddr; flow:resume; flow:setup-prd,
flow,skill,make-skill-template,plugins/flow/skills/make-skill-template/SKILL.md,91d8617ffd5821d087b7f98e44b9c49440f281657419c12c0cd47d1627b6609e,165,flow:make-skill-template,discovered,valid,,,,
flow,skill,motion-rules,plugins/flow/skills/motion-rules/SKILL.md,e65c2e1998dbd0bd3cb3835b15c2b996c80b20cc67bcc4d1023596a0a8b520c8,118,flow:motion-rules,discovered,valid,,,,
flow,skill,quality-gates,plugins/flow/skills/quality-gates/SKILL.md,f1d79d542b945089133374aaa302d014edcccbc0e96191f40e5222813e3ec02a,90,flow:quality-gates,discovered,valid,,,flow:bug-fix; flow:done; flow:execute; flow:quick; flow:utils-verify; flow:validate,
flow,skill,question-protocol,plugins/flow/skills/question-protocol/SKILL.md,72fff28c9cb5c71787ace62af248d8efa04643cf81452849ff0a526586a33731,137,flow:question-protocol,discovered,valid,agent_orchestration,,,
flow,skill,responsive-rules,plugins/flow/skills/responsive-rules/SKILL.md,030a0061a11b016946567deeaa151b6f95cce75fdafd9efa99aa51def2bac0c3,127,flow:responsive-rules,discovered,valid,agent_orchestration,,,
flow,skill,scenario,plugins/flow/skills/scenario/SKILL.md,b51793dabf6cfca26f7027e1054847e8fcd5fe7f049f4c6a92f5e63f48c12c2c,354,flow:scenario,discovered,valid,claude_paths; arguments; maude_cli,,flow:done; flow:release; flow:validate,
flow,skill,security-rules,plugins/flow/skills/security-rules/SKILL.md,f5c31dfba91ac6c4ab371d8ad675483e4bdcb9f8d8f74d27f0f2b04338ac10b7,238,flow:security-rules,discovered,valid,agent_orchestration,,flow:review-code; flow:validate; flow:validate-security,
flow,skill,skill-loader,plugins/flow/skills/skill-loader/SKILL.md,88d88eabf3fa7e41ca541c0afcde0956f9f8362770b31010b42805ae34064e09,91,flow:skill-loader,discovered,valid,external_expertise,,flow:execute; flow:init; flow:plan; flow:setup-context,./_expertise-mapping.md; ./_resolution-strategy.md; ./_resolution-strategy.md; ./_expertise-mapping.md; ./_resolution-strategy.md
flow,skill,testing-rules,plugins/flow/skills/testing-rules/SKILL.md,c5c013718f2853aafd26c03cb225889c8566923b47ca2418ea2498f49957c4e2,101,flow:testing-rules,discovered,valid,agent_orchestration,,flow:bug-fix; flow:done; flow:execute,
flow,skill,workflow-state,plugins/flow/skills/workflow-state/SKILL.md,971ba6877dfdaed4a6c161690310d99a46a4f6537c966c149ca2434afbe2d0d1,91,flow:workflow-state,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:pause; flow:record-ddr; flow:resume; flow:status,
flow,reference,_security-regex-catalog.md,plugins/flow/agents/_security-regex-catalog.md,8cfbd242beee5ca73e5d4c8ef39a9cb7157f81f13dd687c95d79d7f89027ce58,82,,supporting-file,not-applicable,,,,
flow,agent,a11y-auditor,plugins/flow/agents/a11y-auditor.md,b71c6e8a7c8e701eb3ecd54acd9cdfea61af3b440c5c84845ac6fbc0d0f8e24d,112,,not-installed-by-bridge,valid,,"Read, Bash, Grep, Glob",flow:utils-verify; flow:validate,
flow,agent,breaker,plugins/flow/agents/breaker.md,8a2983fcb04a1ca4917f269041b95a8bb1330ac117e4c7fa84bcf9b8cb12e1a5,40,,not-installed-by-bridge,valid,question_ui,"Read, Grep, Glob, Bash",flow:debate-protocol,
flow,agent,builder,plugins/flow/agents/builder.md,1d2aacb2f3b998a6d96adbb8de871e5aae0576f6a8013a9917c5abdbf9306f28,42,,not-installed-by-bridge,valid,question_ui,"Read, Grep, Glob, Bash",flow:debate-protocol,
